scenario_id,policy,makespan,heft_makespan,ratio_to_heft,steps
val_000,heft,79.58407300962179,79.58407300962179,1.0,11
val_001,heft,100.66332242677494,100.66332242677494,1.0,12
val_002,heft,61.78868175946538,61.78868175946538,1.0,9
val_003,heft,91.55093011690428,91.55093011690428,1.0,11
val_004,heft,64.30679139241461,64.30679139241461,1.0,9
val_005,heft,108.09022541189509,108.09022541189509,1.0,12
val_006,heft,80.93177377957683,80.93177377957683,1.0,11
val_007,heft,98.55507283875329,98.55507283875329,1.0,10
val_008,heft,78.81879514349355,78.81879514349355,1.0,11
val_009,heft,61.93630222785779,61.93630222785779,1.0,8
val_000,lookahead_heft,79.58407300962179,79.58407300962179,1.0,11
val_001,lookahead_heft,100.66332242677494,100.66332242677494,1.0,12
val_002,lookahead_heft,61.06005400028422,61.78868175946538,0.9882077471402027,9
val_003,lookahead_heft,83.18182463311476,91.55093011690428,0.9085852489635796,11
val_004,lookahead_heft,64.30679139241461,64.30679139241461,1.0,9
val_005,lookahead_heft,106.65373239194642,108.09022541189509,0.9867102412408274,12
val_006,lookahead_heft,80.93177377957683,80.93177377957683,1.0,11
val_007,lookahead_heft,92.12150051187709,98.55507283875329,0.934721043356112,10
val_008,lookahead_heft,75.55712839624745,78.81879514349355,0.9586181602838756,11
val_009,lookahead_heft,61.93630222785779,61.93630222785779,1.0,8
val_000,portfolio,79.58407300962179,79.58407300962179,1.0,11
val_001,portfolio,100.66332242677494,100.66332242677494,1.0,12
val_002,portfolio,61.06005400028422,61.78868175946538,0.9882077471402027,9
val_003,portfolio,83.18182463311476,91.55093011690428,0.9085852489635796,11
val_004,portfolio,64.30679139241461,64.30679139241461,1.0,9
val_005,portfolio,106.65373239194642,108.09022541189509,0.9867102412408274,12
val_006,portfolio,80.93177377957683,80.93177377957683,1.0,11
val_007,portfolio,92.12150051187709,98.55507283875329,0.934721043356112,10
val_008,portfolio,75.55712839624745,78.81879514349355,0.9586181602838756,11
val_009,portfolio,61.93630222785779,61.93630222785779,1.0,8
val_000,min_min,105.71188435646836,79.58407300962179,1.3283045257521275,11
val_001,min_min,113.06190854282085,100.66332242677494,1.1231688545255891,12
val_002,min_min,70.63113299379778,61.78868175946538,1.1431079444088936,9
val_003,min_min,92.55939708762669,91.55093011690428,1.011015365648767,11
val_004,min_min,77.91167095802463,64.30679139241461,1.2115620958693143,9
val_005,min_min,123.26200942224673,108.09022541189509,1.1403622201039654,12
val_006,min_min,114.57505139631989,80.93177377957683,1.4156992494489595,11
val_007,min_min,106.27883173262734,98.55507283875329,1.0783699780376699,10
val_008,min_min,83.39248607068583,78.81879514349355,1.058027922386604,11
val_009,min_min,74.22514493490644,61.93630222785779,1.198410984592512,8
val_000,max_min,83.11473615594005,79.58407300962179,1.0443639413364958,11
val_001,max_min,100.66332242677494,100.66332242677494,1.0,12
val_002,max_min,68.9816921665453,61.78868175946538,1.1164130744054597,9
val_003,max_min,104.53118718430953,91.55093011690428,1.1417818153330648,11
val_004,max_min,84.31422213001905,64.30679139241461,1.311124693121673,9
val_005,max_min,128.63065670656565,108.09022541189509,1.1900304233467731,12
val_006,max_min,80.93177377957683,80.93177377957683,1.0,11
val_007,max_min,103.98100763565972,98.55507283875329,1.0550548504568997,10
val_008,max_min,75.55712839624745,78.81879514349355,0.9586181602838756,11
val_009,max_min,61.93630222785779,61.93630222785779,1.0,8
val_000,mct,105.71188435646836,79.58407300962179,1.3283045257521275,11
val_001,mct,113.06190854282085,100.66332242677494,1.1231688545255891,12
val_002,mct,70.63113299379778,61.78868175946538,1.1431079444088936,9
val_003,mct,92.55939708762669,91.55093011690428,1.011015365648767,11
