scenario_id,policy,makespan,heft_makespan,ratio_to_heft,steps
val_000,heft,240.36021722057578,240.36021722057578,1.0,30
val_001,heft,220.83641764114017,220.83641764114017,1.0,20
val_002,heft,193.06805200806048,193.06805200806048,1.0,19
val_003,heft,215.87566286737135,215.87566286737135,1.0,24
val_004,heft,301.18424048238074,301.18424048238074,1.0,27
val_005,heft,240.6999905583341,240.6999905583341,1.0,28
val_006,heft,261.3499650897901,261.3499650897901,1.0,29
val_007,heft,175.3119000976283,175.3119000976283,1.0,27
val_008,heft,235.40238499949828,235.40238499949828,1.0,23
val_009,heft,214.4051962553923,214.4051962553923,1.0,23
val_010,heft,280.1517764001919,280.1517764001919,1.0,30
val_011,heft,272.20491602541796,272.20491602541796,1.0,24
val_000,lookahead_heft,235.90188636276858,240.36021722057578,0.9814514610222879,30
val_001,lookahead_heft,220.83641764114017,220.83641764114017,1.0,20
val_002,lookahead_heft,193.06805200806048,193.06805200806048,1.0,19
val_003,lookahead_heft,215.87566286737135,215.87566286737135,1.0,24
val_004,lookahead_heft,288.1977425610981,301.18424048238074,0.9568818810025276,27
val_005,lookahead_heft,236.17392162235166,240.6999905583341,0.9811962230431184,28
val_006,lookahead_heft,253.27644256754354,261.3499650897901,0.9691083849218316,29
val_007,lookahead_heft,173.03904968089495,175.3119000976283,0.9870353899794159,27
val_008,lookahead_heft,235.40238499949828,235.40238499949828,1.0,23
val_009,lookahead_heft,214.4051962553923,214.4051962553923,1.0,23
val_010,lookahead_heft,279.98508555220053,280.1517764001919,0.9994049980687851,30
val_011,lookahead_heft,272.20491602541796,272.20491602541796,1.0,24
val_000,portfolio,235.90188636276858,240.36021722057578,0.9814514610222879,30
val_001,portfolio,220.83641764114017,220.83641764114017,1.0,20
val_002,portfolio,193.06805200806048,193.06805200806048,1.0,19
val_003,portfolio,215.87566286737135,215.87566286737135,1.0,24
val_004,portfolio,288.1977425610981,301.18424048238074,0.9568818810025276,27
val_005,portfolio,236.17392162235166,240.6999905583341,0.9811962230431184,28
val_006,portfolio,253.27644256754354,261.3499650897901,0.9691083849218316,29
val_007,portfolio,173.03904968089495,175.3119000976283,0.9870353899794159,27
val_008,portfolio,235.40238499949828,235.40238499949828,1.0,23
val_009,portfolio,214.4051962553923,214.4051962553923,1.0,23
val_010,portfolio,279.98508555220053,280.1517764001919,0.9994049980687851,30
val_011,portfolio,272.20491602541796,272.20491602541796,1.0,24
val_000,max_min,282.8774919753513,240.36021722057578,1.1768898166528028,30
val_001,max_min,241.38892675482325,220.83641764114017,1.09306666596576,20
val_002,max_min,203.24267829146345,193.06805200806048,1.0526996889313318,19
val_003,max_min,245.4061599777175,215.87566286737135,1.1367940078010967,24
val_004,max_min,293.12908290373105,301.18424048238074,0.9732550495811186,27
val_005,max_min,262.38840505458626,240.6999905583341,1.0901055893103409,28
val_006,max_min,272.7268878616197,261.3499650897901,1.043531372839177,29
val_007,max_min,201.65654069902962,175.3119000976283,1.1502729739779811,27
val_008,max_min,280.7509048643422,235.40238499949828,1.1926425675973529,23
val_009,max_min,239.1242234587521,214.4051962553923,1.1152911759373376,23
val_010,max_min,312.708820776874,280.1517764001919,1.1162121646880971,30
val_011,max_min,272.20491602541796,272.20491602541796,1.0,24
val_000,random,1115.777410826845,240.36021722057578,4.642105185829937,30
val_001,random,1237.6015808282664,220.83641764114017,5.604155302135776,20
val_002,random,569.1849872574307,193.06805200806048,2.948105506516778,19
val_003,random,1645.440587854288,215.87566286737135,7.62216808508519,24
val_004,random,1634.7205707567878,301.18424048238074,5.427643120166571,27
val_005,random,1600.1093548327744,240.6999905583341,6.6477333510529775,28
val_006,random,1838.0269650599755,261.3499650897901,7.032818865801256,29
val_007,random,783.756359571863,175.3119000976283,4.470639809022673,27
val_008,random,1243.111866699945,235.40238499949828,5.280795548025542,23
val_009,random,753.2813242953733,214.4051962553923,3.513353861993577,23
val_010,random,1358.500373971522,280.1517764001919,4.849158521953928,30
val_011,random,1265.2528671888276,272.20491602541796,4.648163176710154,24
val_000,rl,235.90188636276858,240.36021722057578,0.9814514610222879,30
val_001,rl,220.83641764114017,220.83641764114017,1.0,20
val_002,rl,193.06805200806048,193.06805200806048,1.0,19
val_003,rl,215.87566286737135,215.87566286737135,1.0,24
val_004,rl,288.1977425610981,301.18424048238074,0.9568818810025276,27
val_005,rl,236.17392162235166,240.6999905583341,0.9811962230431184,28
val_006,rl,253.27644256754354,261.3499650897901,0.9691083849218316,29
val_007,rl,173.03904968089495,175.3119000976283,0.9870353899794159,27
val_008,rl,235.40238499949828,235.40238499949828,1.0,23
val_009,rl,214.4051962553923,214.4051962553923,1.0,23
val_010,rl,279.98508555220053,280.1517764001919,0.9994049980687851,30
val_011,rl,272.20491602541796,272.20491602541796,1.0,24
